target,x,y,d1,d2
anfangen,Die anfängt mit einem Koffer,Die fing mit einem Koffer an,Die wird mit einem Koffer anfangen,Die würde mit einem Koffer anfangen
fehlen,Die Kraft und die Zeit fehlt uns nun dafür,Die Kraft und die Zeit fehlten uns nun dafür,Die Kraft und die Zeit wird uns nun dafür fehlen,Die Kraft und die Zeit würden uns nun dafür fehlen
stattfinden,Die nur in unserem Kopf stattfindet,Die fand nur in unserem Kopf statt,Die wird nur in unserem Kopf stattfinden,Die würde nur in unserem Kopf stattfinden
kämpfen,Ein Fünftel der Krankenhaus-Patienten kämpft mit den Folgen von Alkoholmissbrauch,Ein Fünftel der Krankenhaus-Patienten kämpfte mit den Folgen von Alkoholmissbrauch,Ein Fünftel der Krankenhaus-Patienten wird mit den Folgen von Alkoholmissbrauch kämpfen,Ein Fünftel der Krankenhaus-Patienten würde mit den Folgen von Alkoholmissbrauch kämpfen
bauen,Der österreichische Immobilienentwickler baut sein Deutschland-Geschäft weiter aus,Der österreichische Immobilienentwickler baute sein Deutschland-Geschäft weiter aus,Der österreichische Immobilienentwickler wird sein Deutschland-Geschäft weiter ausbauen,Der österreichische Immobilienentwickler würde sein Deutschland-Geschäft weiter ausbauen
stören,Sie stören die Feierlichkeit,Sie störten die Feierlichkeit,Sie werden die Feierlichkeit stören,Sie würden die Feierlichkeit stören
verbleiben,Eine Kopie verbleibt bei Ihren Unterlagen,Eine Kopie verblieb bei Ihren Unterlagen,Eine Kopie wird bei Ihren Unterlagen verbleiben,Eine Kopie würde bei Ihren Unterlagen verbleiben
weichen,Die Mädchen weichen zurück,Die Mädchen wichen zurück,Die Mädchen werden zurückweichen,Die Mädchen würden zurückweichen
bestellen,Man bestellt zahlreiche Dinge,Man bestellte zahlreiche Dinge,Man wird zahlreiche Dinge bestellen,Man würde zahlreiche Dinge bestellen
vertreiben,Sie vertreiben ihr Produkt an jedermann,Sie vertrieben ihr Produkt an jedermann,Sie werden ihr Produkt an jedermann vertreiben,Sie würden ihr Produkt an jedermann vertreiben
pflanzen,Wir pflanzen Bäume für eine bessere Welt,Wir pflanzten Bäume für eine bessere Welt,Wir werden Bäume für eine bessere Welt pflanzen,Wir würden Bäume für eine bessere Welt pflanzen
untersuchen,Sie untersucht die Folgen innerstädtischer Verkehrslawinen,Sie untersuchten die Folgen innerstädtischer Verkehrslawinen,Sie werden die Folgen innerstädtischer Verkehrslawinen untersuchen,Sie würden die Folgen innerstädtischer Verkehrslawinen untersuchen
ausfallen,Was wenn die Nummer 1 ausfällt?,Was wenn die Nummer 1 ausfiel?,Was wenn die Nummer 1 ausfallen wird?,Was wenn die Nummer 1 ausfallen würde?
zeichnen,Was zeichnet erfolgreiche Unternehmer aus?,Was zeichnete erfolgreiche Unternehmer aus?,Was wird erfolgreiche Unternehmer auszeichnen?,Was würde erfolgreiche Unternehmer auszeichnen?
verstecken,Dieser hingegen versteckt seine Gefühle für Christian,Dieser hingegen versteckte seine Gefühle für Christian,Dieser hingegen wird seine Gefühle für Christian verstecken,Dieser hingegen würde seine Gefühle für Christian verstecken
schalten,Ein Reverse-Clicky schaltet die Lampe ein,Ein Reverse-Clicky schaltete die Lampe ein,Ein Reverse-Clicky wird die Lampe einschalten,Ein Reverse-Clicky würde die Lampe einschalten
verurteilen,Der VIKZ verurteilt Terror auf das Schärfste,Der VIKZ verurteilte Terror auf das Schärfste,Der VIKZ wird Terror auf das Schärfste verurteilen,Der VIKZ würde Terror auf das Schärfste verurteilen
bauen,Der Engländer William Marr baut den ersten feuerfesten Geldschrank,Der Engländer William Marr baute den ersten feuerfesten Geldschrank,Der Engländer William Marr wird den ersten feuerfesten Geldschrank bauen,Der Engländer William Marr würde den ersten feuerfesten Geldschrank bauen
bewähren,Das Modell bewährt sich jeden Tag,Das Modell bewährte sich jeden Tag,Das Modell wird sich jeden Tag bewähren,Das Modell würde sich jeden Tag bewähren
merken,Ich merke davon nichts,Ich merkte davon nichts,Ich werde davon nichts merken,Ich würde davon nichts merken
aufkommen,Was aber wenn dennoch Langeweile aufkommt?,Was aber wenn dennoch Langeweile aufkam?,Was aber wenn dennoch Langeweile aufkommen wird?,Was aber wenn dennoch Langeweile aufkommen würde?
beten,Sie betet stellvertretend für den Menschen,Sie betete stellvertretend für den Menschen,Sie wird stellvertretend für den Menschen beten,Sie würde stellvertretend für den Menschen beten
rühren,Der assistierte Suizid rührt an Tabus,Der assistierte Suizid rührte an Tabus,Der assistierte Suizid wird an Tabus rühren,Der assistierte Suizid würde an Tabus rühren
abhalten,Was mich davon bis jetzt abhält?,Was mich davon bis jetzt abhielt?,Was mich davon bis jetzt abhalten wird?,Was mich davon bis jetzt abhalten würde?
klagen,Die Patienten klagen über Kopfschwere am Abend,Die Patienten klagten über Kopfschwere am Abend,Die Patienten werden über Kopfschwere am Abend klagen,Die Patienten würden über Kopfschwere am Abend klagen
begründen,Die Ausübung dieses Rechtes durch KvTCP begründet keine Schadensersatzansprüche des Absenders,Die Ausübung dieses Rechtes durch KvTCP begründete keine Schadensersatzansprüche des Absenders,Die Ausübung dieses Rechtes durch KvTCP wird keine Schadensersatzansprüche des Absenders begründen,Die Ausübung dieses Rechtes durch KvTCP würde keine Schadensersatzansprüche des Absenders begründen
erteilen,Der Großteil von Abschnitt 20 erteilt Anweisungen über Kirchenverwaltung,Der Großteil von Abschnitt 20 erteilte Anweisungen über Kirchenverwaltung,Der Großteil von Abschnitt 20 wird Anweisungen über Kirchenverwaltung erteilen,Der Großteil von Abschnitt 20 würde Anweisungen über Kirchenverwaltung erteilen
gewinnen,Wer gewinnt nun?,Wer gewann nun?,Wer wird nun gewinnen?,Wer würde nun gewinnen?
führen,Die mittlere Schaltfläche führt zurück auf die Übersichtsliste,Die mittlere Schaltfläche führte zurück auf die Übersichtsliste,Die mittlere Schaltfläche wird zurück auf die Übersichtsliste führen,Die mittlere Schaltfläche würde zurück auf die Übersichtsliste führen
streiten,Wer streitet den?,Wer stritt den?,Wer wird den streiten?,Wer würde den streiten?
rollen,Unser Flugzeug rollt an,Unser Flugzeug rollte an,Unser Flugzeug wird anrollen,Unser Flugzeug würde anrollen
verhindern,Diese Isolierung verhindert thermische Schwankungen,Diese Isolierung verhinderte thermische Schwankungen,Diese Isolierung wird thermische Schwankungen verhindern,Diese Isolierung würde thermische Schwankungen verhindern
reden,Sie redet mit den Bewohnern,Sie redete mit den Bewohnern,Sie wird mit den Bewohnern reden,Sie würde mit den Bewohnern reden
vermeiden,Die Verbindung von Entscheidung und Konsequenzen vermeidet leichtfertige Entscheidungen,Die Verbindung von Entscheidung und Konsequenzen vermied leichtfertige Entscheidungen,Die Verbindung von Entscheidung und Konsequenzen wird leichtfertige Entscheidungen vermeiden,Die Verbindung von Entscheidung und Konsequenzen würde leichtfertige Entscheidungen vermeiden
begreifen,Ihr begreift die Klimafrage nicht,Ihr begrifft die Klimafrage nicht,Ihr werdet die Klimafrage nicht begreifen,Ihr würdet die Klimafrage nicht begreifen
begreifen,Er begreift nur allzu gut,Er begriff nur allzu gut,Er wird nur allzu gut begreifen,Er würde nur allzu gut begreifen
überwachen,Die TM3 Logistiksoftware überwacht auch die erzeugten Lieferantenbestellungen,Die TM3 Logistiksoftware überwachte auch die erzeugten Lieferantenbestellungen,Die TM3 Logistiksoftware wird auch die erzeugten Lieferantenbestellungen überwachen,Die TM3 Logistiksoftware würde auch die erzeugten Lieferantenbestellungen überwachen
bewahren,Das bewahrt ihn vor seiner Selbsttötung,Das bewahrte ihn vor seiner Selbsttötung,Das wird ihn vor seiner Selbsttötung bewahren,Das würde ihn vor seiner Selbsttötung bewahren
sagen,Wir sagen Danke,Wir sagten Danke,Wir werden Danke sagen,Wir würden Danke sagen
fördern,Das Hormon fördert die Alkalisierung der Galle,Das Hormon förderte die Alkalisierung der Galle,Das Hormon wird die Alkalisierung der Galle fördern,Das Hormon würde die Alkalisierung der Galle fördern
erkranken,Jeder zehnte Raucher erkrankt an Lungenkrebs,Jeder zehnte Raucher erkrankte an Lungenkrebs,Jeder zehnte Raucher wird an Lungenkrebs erkranken,Jeder zehnte Raucher würde an Lungenkrebs erkranken
entfallen,Das heutige Vorsitzendenquorum entfällt,Das heutige Vorsitzendenquorum entfiel,Das heutige Vorsitzendenquorum wird entfallen,Das heutige Vorsitzendenquorum würde entfallen
wandern,Das Auge wandert gespannt hin und her,Das Auge wanderte gespannt hin und her,Das Auge wird gespannt hin und her wandern,Das Auge würde gespannt hin und her wandern
ruhen,Die Suche nach weiteren Vermissten ruht vorerst,Die Suche nach weiteren Vermissten ruhte vorerst,Die Suche nach weiteren Vermissten wird vorerst ruhen,Die Suche nach weiteren Vermissten würde vorerst ruhen
kritisieren,Die Jury kritisiert insbesondere Schäubles Sicherheitspolitik,Die Jury kritisierte insbesondere Schäubles Sicherheitspolitik,Die Jury wird insbesondere Schäubles Sicherheitspolitik kritisieren,Die Jury würde insbesondere Schäubles Sicherheitspolitik kritisieren
dringen,Der andere Geist dringt so entsetzlich vor,Der andere Geist drang so entsetzlich vor,Der andere Geist wird so entsetzlich vordringen,Der andere Geist würde so entsetzlich vordringen
verlangen,Die Einmaligkeit jeder Unternehmung verlangt nach einer individuellen Nachfolgeregelung,Die Einmaligkeit jeder Unternehmung verlangte nach einer individuellen Nachfolgeregelung,Die Einmaligkeit jeder Unternehmung wird nach einer individuellen Nachfolgeregelung verlangen,Die Einmaligkeit jeder Unternehmung würde nach einer individuellen Nachfolgeregelung verlangen
klingen,Das klingt erst mal logisch,Das klang erst mal logisch,Das wird erst mal logisch klingen,Das würde erst mal logisch klingen
unterhalten,Die Polizei unterhält hierfür Beratungsstellen,Die Polizei unterhielt hierfür Beratungsstellen,Die Polizei wird hierfür Beratungsstellen unterhalten,Die Polizei würde hierfür Beratungsstellen unterhalten
nachdenken,Keine Ahnung worüber Gregor nachdenkt,Keine Ahnung worüber Gregor nachdachte,Keine Ahnung worüber Gregor nachdenken wird,Keine Ahnung worüber Gregor nachdenken würde
zusammenarbeiten,Alle die mit Risiko-Eltern zusammenarbeiten,Alle die mit Risiko-Eltern zusammenarbeiteten,Alle die mit Risiko-Eltern zusammenarbeiten werden,Alle die mit Risiko-Eltern zusammenarbeiten würden
sammeln,Wer sammelt ähnliche Erfahrungen?,Wer sammelte ähnliche Erfahrungen?,Wer wird ähnliche Erfahrungen sammeln?,Wer würde ähnliche Erfahrungen sammeln?
buchen,Manche Veranstalter buchen am liebsten falsche Kellner,Manche Veranstalter buchten am liebsten falsche Kellner,Manche Veranstalter werden am liebsten falsche Kellner buchen,Manche Veranstalter würden am liebsten falsche Kellner buchen
bewältigen,Unser leistungsstarker top moderner Maschinenpark bewältigt jede Auflage,Unser leistungsstarker top moderner Maschinenpark bewältigte jede Auflage,Unser leistungsstarker top moderner Maschinenpark wird jede Auflage bewältigen,Unser leistungsstarker top moderner Maschinenpark würde jede Auflage bewältigen
bringen,Die SPÖ bringt Klage auf Wahlwiederholung ein,Die SPÖ brachte Klage auf Wahlwiederholung ein,Die SPÖ wird Klage auf Wahlwiederholung einbringen,Die SPÖ würde Klage auf Wahlwiederholung einbringen
holen,Ich hole dich dort ab,Ich holte dich dort ab,Ich werde dich dort abholen,Ich würde dich dort abholen
sortieren,Der Technikmarkt in der City-Galerie sortiert sich gerade neu,Der Technikmarkt in der City-Galerie sortierte sich gerade neu,Der Technikmarkt in der City-Galerie wird sich gerade neu sortieren,Der Technikmarkt in der City-Galerie würde sich gerade neu sortieren
investieren,Der Staat investiert 130 Milliarden Euro,Der Staat investierte 130 Milliarden Euro,Der Staat wird 130 Milliarden Euro investieren,Der Staat würde 130 Milliarden Euro investieren
bearbeiten,Dein Bekannter Jean Lesieux bearbeitet den Fall,Dein Bekannter Jean Lesieux bearbeitete den Fall,Dein Bekannter Jean Lesieux wird den Fall bearbeiten,Dein Bekannter Jean Lesieux würde den Fall bearbeiten
beschränken,Dieser Mangel beschränkt die Modellierung von Objekten,Dieser Mangel beschränkte die Modellierung von Objekten,Dieser Mangel wird die Modellierung von Objekten beschränken,Dieser Mangel würde die Modellierung von Objekten beschränken
thematisieren,Ich thematisiere fast täglich die Bilder,Ich thematisierte fast täglich die Bilder,Ich werde fast täglich die Bilder thematisieren,Ich würde fast täglich die Bilder thematisieren
gebären,Eine Tat gebiert die andere,Eine Tat gebar die andere,Eine Tat wird die andere gebären,Eine Tat würde die andere gebären
ändern,Das Brummen ändert sich mit der Lautstärke,Das Brummen änderte sich mit der Lautstärke,Das Brummen wird sich mit der Lautstärke ändern,Das Brummen würde sich mit der Lautstärke ändern
halten,Er hält OFARINs Kabuler Büro sauber,Er hielt OFARINs Kabuler Büro sauber,Er wird OFARINs Kabuler Büro sauber halten,Er würde OFARINs Kabuler Büro sauber halten
ernennen,Die Christiana Albertina ernennt ihn zum Ehrensenator,Die Christiana Albertina ernannte ihn zum Ehrensenator,Die Christiana Albertina wird ihn zum Ehrensenator ernennen,Die Christiana Albertina würde ihn zum Ehrensenator ernennen
besetzen,Die kaiserliche Hauptmacht besetzt die Anhöhen,Die kaiserliche Hauptmacht besetzte die Anhöhen,Die kaiserliche Hauptmacht wird die Anhöhen besetzen,Die kaiserliche Hauptmacht würde die Anhöhen besetzen
anstellen,Was das Schicksal so mit Menschen anstellt,Was das Schicksal so mit Menschen anstellte,Was das Schicksal so mit Menschen anstellen wird,Was das Schicksal so mit Menschen anstellen würde
ausbilden,Wer sich ausbildet,Wer sich ausbildete,Wer sich ausbilden wird,Wer sich ausbilden würde
stärken,Diese Nahrung stärkt sie,Diese Nahrung stärkte sie,Diese Nahrung wird sie stärken,Diese Nahrung würde sie stärken
untersuchen,Die Hauptstudie untersucht Geschäftsmodelle der Berufsbildungsexporteure,Die Hauptstudie untersuchte Geschäftsmodelle der Berufsbildungsexporteure,Die Hauptstudie wird Geschäftsmodelle der Berufsbildungsexporteure untersuchen,Die Hauptstudie würde Geschäftsmodelle der Berufsbildungsexporteure untersuchen
ersetzen,Dieser Kurs ersetzt KEINE Rückbildungsgymnastik,Dieser Kurs ersetzte KEINE Rückbildungsgymnastik,Dieser Kurs wird KEINE Rückbildungsgymnastik ersetzen,Dieser Kurs würde KEINE Rückbildungsgymnastik ersetzen
rennen,Wir rennen zusammen,Wir rannten zusammen,Wir werden zusammen rennen,Wir würden zusammen rennen
drohen,Es droht das toxische Megakolon,Es drohte das toxische Megakolon,Es wird das toxische Megakolon drohen,Es würde das toxische Megakolon drohen
unterschreiben,Der U21-Nationalspieler unterschreibt dort einen Vertrag bis 2017,Der U21-Nationalspieler unterschrieb dort einen Vertrag bis 2017,Der U21-Nationalspieler wird dort einen Vertrag bis 2017 unterschreiben,Der U21-Nationalspieler würde dort einen Vertrag bis 2017 unterschreiben
vergehen,Die Zeit vergeht einfach viel zu schnell,Die Zeit verging einfach viel zu schnell,Die Zeit wird einfach viel zu schnell vergehen,Die Zeit würde einfach viel zu schnell vergehen
entfallen,Das optionale Abspeichern in der Terminliste entfällt komplett,Das optionale Abspeichern in der Terminliste entfiel komplett,Das optionale Abspeichern in der Terminliste wird komplett entfallen,Das optionale Abspeichern in der Terminliste würde komplett entfallen
interessieren,Du interessierst Dich für Magie?,Du interessiertest Dich für Magie?,Du wirst Dich für Magie interessieren?,Du würdest Dich für Magie interessieren?
konfrontieren,Dieses Buch konfrontiert mit so vielen Fragen,Dieses Buch konfrontierte mit so vielen Fragen,Dieses Buch wird mit so vielen Fragen konfrontieren,Dieses Buch würde mit so vielen Fragen konfrontieren
wiederholen,Die Geschichte wiederholt sich,Die Geschichte wiederholte sich,Die Geschichte wird sich wiederholen,Die Geschichte würde sich wiederholen
bearbeiten,Die zwei Meta-Rechercheure MetaGer und Apollo7 bearbeiten speziell deutsche Such-Server,Die zwei Meta-Rechercheure MetaGer und Apollo7 bearbeiteten speziell deutsche Such-Server,Die zwei Meta-Rechercheure MetaGer und Apollo7 werden speziell deutsche Such-Server bearbeiten,Die zwei Meta-Rechercheure MetaGer und Apollo7 würden speziell deutsche Such-Server bearbeiten
erobern,Er erobert tatsächlich ihr Herz,Er eroberte tatsächlich ihr Herz,Er wird tatsächlich ihr Herz erobern,Er würde tatsächlich ihr Herz erobern
erwähnen,Andere erwähnen sie nur am Rande,Andere erwähnten sie nur am Rande,Andere werden sie nur am Rande erwähnen,Andere würden sie nur am Rande erwähnen
ausreichen,Keine Ahnung ob das ausreicht,Keine Ahnung ob das ausreichte,Keine Ahnung ob das ausreichen wird,Keine Ahnung ob das ausreichen würde
formulieren,Sie formuliert ihr Gegenüber ungeschönt,Sie formulierte ihr Gegenüber ungeschönt,Sie wird ihr Gegenüber ungeschönt formulieren,Sie würde ihr Gegenüber ungeschönt formulieren
entlasten,Dies entlastet die Reifen,Dies entlastete die Reifen,Dies wird die Reifen entlasten,Dies würde die Reifen entlasten
überstehen,Die drei Pokémon überstehen den Check,Die drei Pokémon überstanden den Check,Die drei Pokémon werden den Check überstehen,Die drei Pokémon würden den Check überstehen
verbrauchen,Der Befehl verbraucht Ausdauer,Der Befehl verbrauchte Ausdauer,Der Befehl wird Ausdauer verbrauchen,Der Befehl würde Ausdauer verbrauchen
biegen,Einer biegt sich vor Lachen,Einer bog sich vor Lachen,Einer wird sich vor Lachen biegen,Einer würde sich vor Lachen biegen
besuchen,Er besucht die 3,Er besuchte die 3,Er wird die 3 besuchen,Er würde die 3 besuchen
notieren,Das Wertpapier von Beiersdorf notiert am Mittwoch leichter,Das Wertpapier von Beiersdorf notierte am Mittwoch leichter,Das Wertpapier von Beiersdorf wird am Mittwoch leichter notieren,Das Wertpapier von Beiersdorf würde am Mittwoch leichter notieren
argumentieren,Ich argumentiere immer konservativ,Ich argumentierte immer konservativ,Ich werde immer konservativ argumentieren,Ich würde immer konservativ argumentieren
besetzen,Der Dosenklarlack besetzt den 9 Platz,Der Dosenklarlack besetzte den 9 Platz,Der Dosenklarlack wird den 9 Platz besetzen,Der Dosenklarlack würde den 9 Platz besetzen
erteilen,Das örtliche Umweltamt erteilt Ihnen Auskunft,Das örtliche Umweltamt erteilte Ihnen Auskunft,Das örtliche Umweltamt wird Ihnen Auskunft erteilen,Das örtliche Umweltamt würde Ihnen Auskunft erteilen
beenden,Ein Doppelklick in die Karte beendet die Messung,Ein Doppelklick in die Karte beendete die Messung,Ein Doppelklick in die Karte wird die Messung beenden,Ein Doppelklick in die Karte würde die Messung beenden
wissen,Das weiß noch niemand so wirklich,Das wusste noch niemand so wirklich,Das wird noch niemand so wirklich wissen,Das würde noch niemand so wirklich wissen
blicken,Ich blicke voll Beugung und Staunen,Ich blickte voll Beugung und Staunen,Ich werde voll Beugung und Staunen blicken,Ich würde voll Beugung und Staunen blicken
fangen,Der frühe Vogel fängt die Eisenbahn,Der frühe Vogel fing die Eisenbahn,Der frühe Vogel wird die Eisenbahn fangen,Der frühe Vogel würde die Eisenbahn fangen
ruhen,Unser ehemaliger Kollege Manfred Dunkel ruht auch als Pensionär nicht,Unser ehemaliger Kollege Manfred Dunkel ruhte auch als Pensionär nicht,Unser ehemaliger Kollege Manfred Dunkel wird auch als Pensionär nicht ruhen,Unser ehemaliger Kollege Manfred Dunkel würde auch als Pensionär nicht ruhen
überreichen,Die schüchterne junge Dame überreicht mir meine Medaille,Die schüchterne junge Dame überreichte mir meine Medaille,Die schüchterne junge Dame wird mir meine Medaille überreichen,Die schüchterne junge Dame würde mir meine Medaille überreichen
verschwinden,Der Wein verschwindet dann aufgrund fehlender Nachfrage,Der Wein verschwand dann aufgrund fehlender Nachfrage,Der Wein wird dann aufgrund fehlender Nachfrage verschwinden,Der Wein würde dann aufgrund fehlender Nachfrage verschwinden
schlagen,Unser Herz schlägt für Ihre Werbung,Unser Herz schlug für Ihre Werbung,Unser Herz wird für Ihre Werbung schlagen,Unser Herz würde für Ihre Werbung schlagen
beobachten,Eine Frau mittleren Alters beobachtet das Treiben,Eine Frau mittleren Alters beobachtete das Treiben,Eine Frau mittleren Alters wird das Treiben beobachten,Eine Frau mittleren Alters würde das Treiben beobachten
hervorheben,Die Eleganz ihres Handgelenkes hervorhebt,Die Eleganz ihres Handgelenkes hervorhob,Die Eleganz ihres Handgelenkes wird hervorheben,Die Eleganz ihres Handgelenkes würde hervorheben
betreuen,Die Fotografische Sammlung im Museum Folkwang betreut dieses Förderprogramm,Die Fotografische Sammlung im Museum Folkwang betreute dieses Förderprogramm,Die Fotografische Sammlung im Museum Folkwang wird dieses Förderprogramm betreuen,Die Fotografische Sammlung im Museum Folkwang würde dieses Förderprogramm betreuen
klingen,Das klingt zumindest glaubwürdig,Das klang zumindest glaubwürdig,Das wird zumindest glaubwürdig klingen,Das würde zumindest glaubwürdig klingen
belasten,Das belastet die Wirtschaft massiv,Das belastete die Wirtschaft massiv,Das wird die Wirtschaft massiv belasten,Das würde die Wirtschaft massiv belasten
stehlen,Die mürrische Katze stiehlt allen die Show,Die mürrische Katze stahl allen die Show,Die mürrische Katze wird allen die Show stehlen,Die mürrische Katze würde allen die Show stehlen
ergehen,Ein besonderer Dank ergeht an die Gewerbetreibenden,Ein besonderer Dank erging an die Gewerbetreibenden,Ein besonderer Dank wird an die Gewerbetreibenden ergehen,Ein besonderer Dank würde an die Gewerbetreibenden ergehen
verbleiben,Das für Ihren Insolvenzplan bereitgestellte Geld verbleibt dem Zuwender Ihrer Planinsolvenz,Das für Ihren Insolvenzplan bereitgestellte Geld verblieb dem Zuwender Ihrer Planinsolvenz,Das für Ihren Insolvenzplan bereitgestellte Geld wird dem Zuwender Ihrer Planinsolvenz verbleiben,Das für Ihren Insolvenzplan bereitgestellte Geld würde dem Zuwender Ihrer Planinsolvenz verbleiben
verhandeln,Die ganze Nacht verhandelt sie mit dem Schiffskapitän,Die ganze Nacht verhandelte sie mit dem Schiffskapitän,Die ganze Nacht wird sie mit dem Schiffskapitän verhandeln,Die ganze Nacht würde sie mit dem Schiffskapitän verhandeln
registrieren,Der SIP-Adapter registriert sich bei der Telefonanlage,Der SIP-Adapter registrierte sich bei der Telefonanlage,Der SIP-Adapter wird sich bei der Telefonanlage registrieren,Der SIP-Adapter würde sich bei der Telefonanlage registrieren
besitzen,Ein Chinchilla besitzt aber kein Unterfell,Ein Chinchilla besaß aber kein Unterfell,Ein Chinchilla wird aber kein Unterfell besitzen,Ein Chinchilla würde aber kein Unterfell besitzen
versehen,Eine neue Generation so genannter Cross-Climate-Reifen versieht einen Basis-Sommerpneu mit Wintertauglichkeit,Eine neue Generation so genannter Cross-Climate-Reifen versah einen Basis-Sommerpneu mit Wintertauglichkeit,Eine neue Generation so genannter Cross-Climate-Reifen wird einen Basis-Sommerpneu mit Wintertauglichkeit versehen,Eine neue Generation so genannter Cross-Climate-Reifen würde einen Basis-Sommerpneu mit Wintertauglichkeit versehen
testen,Er testet eben aus,Er testete eben aus,Er wird eben austesten,Er würde eben austesten
nützen,Das nützt dir daher nichts,Das nützte dir daher nichts,Das wird dir daher nichts nützen,Das würde dir daher nichts nützen
verbrennen,Die Kraftwerke verbrennen Gas,Die Kraftwerke verbrannten Gas,Die Kraftwerke werden Gas verbrennen,Die Kraftwerke würden Gas verbrennen
optimieren,Das optimiert ihren biologischen Wert,Das optimierte ihren biologischen Wert,Das wird ihren biologischen Wert optimieren,Das würde ihren biologischen Wert optimieren
schalten,Solche Texte schalten wir nicht frei,Solche Texte schalteten wir nicht frei,Solche Texte werden wir nicht freischalten,Solche Texte würden wir nicht freischalten
unterschreiben,Keiner unterschreibt,Keiner unterschrieb,Keiner wird unterschreiben,Keiner würde unterschreiben
verwirklichen,Eine langjährige Projektentwicklung in Südfrankreich verwirklicht sich weiter,Eine langjährige Projektentwicklung in Südfrankreich verwirklichte sich weiter,Eine langjährige Projektentwicklung in Südfrankreich wird sich weiter verwirklichen,Eine langjährige Projektentwicklung in Südfrankreich würde sich weiter verwirklichen
enthalten,Dies sehr umfangreiche File enthält viele Daten und Grafiken,Dies sehr umfangreiche File enthielt viele Daten und Grafiken,Dies sehr umfangreiche File wird viele Daten und Grafiken enthalten,Dies sehr umfangreiche File würde viele Daten und Grafiken enthalten
berücksichtigen,Die Prämie einer solchen Pkw Versicherung berücksichtigt einen sogenannten SF-Rabatt,Die Prämie einer solchen Pkw Versicherung berücksichtigte einen sogenannten SF-Rabatt,Die Prämie einer solchen Pkw Versicherung wird einen sogenannten SF-Rabatt berücksichtigen,Die Prämie einer solchen Pkw Versicherung würde einen sogenannten SF-Rabatt berücksichtigen
leiten,Die Ordensfrau leitet zahlreiche pastorale und Nothilfeprojekte,Die Ordensfrau leitete zahlreiche pastorale und Nothilfeprojekte,Die Ordensfrau wird zahlreiche pastorale und Nothilfeprojekte leiten,Die Ordensfrau würde zahlreiche pastorale und Nothilfeprojekte leiten
verwalten,Wir verwalten auch Ihre Homepage,Wir verwalteten auch Ihre Homepage,Wir werden auch Ihre Homepage verwalten,Wir würden auch Ihre Homepage verwalten
kaufen,Unser Autoankauf-BMW kauft auch Ihren Gebrauchten,Unser Autoankauf-BMW kaufte auch Ihren Gebrauchten,Unser Autoankauf-BMW wird auch Ihren Gebrauchten kaufen,Unser Autoankauf-BMW würde auch Ihren Gebrauchten kaufen
verbringen,Die meiste Zeit unseren Lebens verbringen wir im Bett,Die meiste Zeit unseren Lebens verbrachten wir im Bett,Die meiste Zeit unseren Lebens werden wir im Bett verbringen,Die meiste Zeit unseren Lebens würden wir im Bett verbringen
besichtigen,Wir besichtigen das örtliche Mattoni-Museum,Wir besichtigten das örtliche Mattoni-Museum,Wir werden das örtliche Mattoni-Museum besichtigen,Wir würden das örtliche Mattoni-Museum besichtigen
reagieren,Die US Gesetzgebung hingegen reagiert anders,Die US Gesetzgebung hingegen reagierte anders,Die US Gesetzgebung hingegen wird anders reagieren,Die US Gesetzgebung hingegen würde anders reagieren
gebrauchen,Du gebrauchst wieder nur Ausflüchte,Du gebrauchtest wieder nur Ausflüchte,Du wirst wieder nur Ausflüchte gebrauchen,Du würdest wieder nur Ausflüchte gebrauchen
stören,Was stört ggf die Rezeption?,Was störte ggf die Rezeption?,Was wird ggf die Rezeption stören?,Was würde ggf die Rezeption stören?
verfügen,Unser Körper verfügt über verschiedenen Abwehrsysteme,Unser Körper verfügte über verschiedenen Abwehrsysteme,Unser Körper wird über verschiedenen Abwehrsysteme verfügen,Unser Körper würde über verschiedenen Abwehrsysteme verfügen
schalten,die Hardware schaltet die entsprechenden Energiekreise,die Hardware schaltete die entsprechenden Energiekreise,die Hardware wird die entsprechenden Energiekreise schalten,die Hardware würde die entsprechenden Energiekreise schalten
beschränken,Die Reste der dritten Inschrift beschränken sich auf wenige Worte,Die Reste der dritten Inschrift beschränkten sich auf wenige Worte,Die Reste der dritten Inschrift werden sich auf wenige Worte beschränken,Die Reste der dritten Inschrift würden sich auf wenige Worte beschränken
beschleunigen,Der Korea-Krieg beschleunigt diese Entwicklung,Der Korea-Krieg beschleunigte diese Entwicklung,Der Korea-Krieg wird diese Entwicklung beschleunigen,Der Korea-Krieg würde diese Entwicklung beschleunigen
orientieren,Es orientiert sich an der Tradition,Es orientierte sich an der Tradition,Es wird sich an der Tradition orientieren,Es würde sich an der Tradition orientieren
übertragen,Die Rute überträgt Bisse knallhart,Die Rute übertrug Bisse knallhart,Die Rute wird Bisse knallhart übertragen,Die Rute würde Bisse knallhart übertragen
orientieren,Unsere Forschungsaktivitäten orientieren sich an den Hauptthemenfeldern,Unsere Forschungsaktivitäten orientierten sich an den Hauptthemenfeldern,Unsere Forschungsaktivitäten werden sich an den Hauptthemenfeldern orientieren,Unsere Forschungsaktivitäten würden sich an den Hauptthemenfeldern orientieren
